strategy,condition_id,end_date,side,entry_price,stake,outcome_yes_won,pnl,window_d,vol,question
CR2,0xbc7dbedc0708ccc763132b224337315181657c1c87d0cbc4193696bc367fbc4e,2025-07-30T16:00:00+00:00,NO,0.1,250.0,0,27.777777777777768,7.0,49167.304403,Will the price of Ethereum be between $3500 and $3600 on July 30?
CR2,0xb8c360f77122ca416f92b35205a1e7b9b01790420f5a807edf7f34c7565022ca,2025-08-04T16:00:00+00:00,NO,0.0125,250.0,0,3.164556962025305,6.999988425925926,47470.546801,Solana above $200 on August 4?
CR2,0xb51bfc886089751286e6bfe65ffbbaddaa83f81061e8be3fdd5ebcad30efa513,2025-08-11T04:00:00+00:00,NO,0.0215,250.0,0,5.4931016862544615,6.000046296296296,47869.70504,Will Ethereum dip to $3300 August 4–10?
CR2,0x6789076769d378b0fbf43e3f8b3efbf7330299f5e21948a855464ee36d57aeeb,2025-08-11T04:00:00+00:00,NO,0.065,250.0,0,17.379679144385012,6.0000231481481485,45362.583115,Will Ethereum dip to $3500 August 4–10?
CR2,0x2066e5a8db1bbc513eb22d4eb0f96638dd1fefbcc89d645bf6c859d790c4b276,2025-08-13T16:00:00+00:00,NO,0.04,250.0,0,10.416666666666677,7.0,45419.867581,Will the price of Bitcoin be between $112K and $114K on August 13?
CR2,0x9e9609a22e5ded77983a06af2b1eb557786ca6b7d68fdf1666d3d344d98de3dc,2025-08-15T16:00:00+00:00,NO,0.075,250.0,0,20.27027027027026,6.49994212962963,47674.196012,XRP above $3.50 on August 15?
CR2,0xc030768b40b9fe29172d7cf12dbbe58ed41b2257e1349582420c813cf9829baa,2025-08-25T16:00:00+00:00,NO,0.065,250.0,0,17.379679144385012,6.499837962962963,48434.049,Will the price of Solana be less than $160 on August 25?
CR2,0xc2505bf9c28dfdcbbf542cdc9989f743a6fadc1d2e74193b4a014e76679aab1c,2025-09-03T16:00:00+00:00,NO,0.07,250.0,0,18.817204301075286,6.499918981481481,48844.632673,Will the price of Ethereum be between $4100 and $4200 on September 3?
CR2,0xcd51a20b675bf0fd78509628e2715e1dfa62d39162d1451d0cb76d14ed31471f,2025-09-05T16:00:00+00:00,NO,0.0125,250.0,0,3.164556962025305,6.500243055555556,45498.317115,Will the price of Bitcoin be between $100K and $102K on September 5?
CR2,0x4a4d672a52c1504c1b4d5a1c037b8d1058b2eca61328789c8d3b583c977d0910,2025-09-05T16:00:00+00:00,NO,0.09,250.0,0,24.725274725274716,6.500081018518519,47696.562228,Ethereum above $4700 on September 5?
CR2,0x590432b7232344ac267c3c2a2b1da4034b36608eaaea3ebbb9d7273c8b5de901,2025-09-08T16:00:00+00:00,NO,0.026,250.0,0,6.673511293634503,6.49994212962963,49110.104512,Will the price of Ethereum be less than $3900 on September 8?
CR2,0xafb974ad7c406a2709f48c6806a5a642829dfedd25955a3b9207815c37dd9b05,2025-09-10T16:00:00+00:00,NO,0.02,250.0,0,5.102040816326535,6.499965277777778,48687.358228,Will the price of Bitcoin be less than $104K on September 10?
CR2,0xd55190161740dcc3f1a955cb066db0007aa6566e84c32657f4b63575b2eb6d99,2025-09-12T16:00:00+00:00,NO,0.026,250.0,0,6.673511293634503,6.500277777777778,47767.721579,"Will the price of Bitcoin be above $120,000 on September 12?"
CR2,0x352cf19be66c38b850968fbdf9a110f3a4df598ef117b88d9766e0b668f1728e,2025-09-12T16:00:00+00:00,NO,0.0415,250.0,0,10.824204486176312,6.499988425925926,45378.65474,"Will the price of Bitcoin be between $118,000 and $120,000 on September 12?"
CR2,0x67c9cc747a1b3a07dbe59ce6a756ceae8d87d24f21bfc1c8b9d077fb3085dbef,2025-09-12T16:00:00+00:00,NO,0.015,250.0,0,3.807106598984775,6.499907407407408,46354.893642,"Will the price of Bitcoin be above $122,000 on September 12?"
CR2,0x8a0078a934710ad2ae9b9cd3067435f7a966659762eb6a9cb674fb48e02146e9,2025-09-12T16:00:00+00:00,NO,0.0185,250.0,0,4.712175241976556,6.500381944444444,48989.611673,"Will the price of Bitcoin be greater than $120,000 on September 12?"
CR2,0x795d98e921cf805f65db61f50fbe1051bdaf84ef7b4c539371b3fb73c8e3d953,2025-09-13T16:00:00+00:00,NO,0.0145,250.0,0,3.678335870116681,6.500115740740741,46779.729227,"Will the price of Bitcoin be greater than $120,000 on September 13?"
CR2,0x20f0f23f57e9ff48d3f2900ea71164735b3eb72def1e9fb894d3fb47b40954fc,2025-09-19T16:00:00+00:00,NO,0.05,250.0,0,13.157894736842117,6.500219907407407,47457.928466,"Will the price of Bitcoin be between $120,000 and $122,000 on September 19?"
CR2,0x9f96ebfa9558dd76ead962605259f3ac601d2ce360ec4e4d1ad37045ab83b2b0,2025-09-22T04:00:00+00:00,NO,0.056,250.0,0,14.830508474576286,6.4996875,49114.101719,"Will Ethereum dip to $4,200 September 15-21?"
CR2,0x5606f6c473ed0dca633db362fd23c594dcd6646f275073ae194a8baeadf93234,2025-09-22T16:00:00+00:00,NO,0.0115,250.0,0,2.9084471421345355,6.500115740740741,47670.705357,"Will the price of Bitcoin be between $106,000 and $108,000 on September 22?"
CR2,0xbc33dbebafc3eebe681813837f0382de6497e79fc77b9d68187b7ae3d5677409,2025-09-29T04:00:00+00:00,NO,0.0025,250.0,0,0.6265664160400869,6.499791666666667,48448.908398,"Will Bitcoin reach $120,000 September 22-28?"
CR2,0xedc8a29a2d1ea73ee8fac57efddef3d8ecf968bd5f4e59eea8fd914259b59e94,2025-10-09T16:00:00+00:00,NO,0.025,250.0,0,6.410256410256416,6.500034722222222,45947.265703,"Will the price of Ethereum be between $4,100 and $4,200 on October 9?"
CR2,0xd56c350c4c24945f2b63ec0da7b55cd709cca7d653a471c7bf1cc2a7bdc6f55b,2025-10-10T16:00:00+00:00,NO,0.032,250.0,0,8.264462809917363,6.5001851851851855,48156.936023,"Will the price of Bitcoin be greater than $132,000 on October 10?"
CR2,0xc879f1de50f17aa6cd3ce8120ef7ed9551cb551da2854cf7716b556f6e150d1e,2025-10-10T16:00:00+00:00,NO,0.02,250.0,0,5.102040816326535,6.5001388888888885,46599.267388,"Will the price of Bitcoin be less than $114,000 on October 10?"
CR2,0xddfa55da6759f040218412bcd1517fa1ff44536f8e3816742d4a2ade412274ee,2025-10-10T16:00:00+00:00,NO,0.05,250.0,0,13.157894736842117,6.499988425925926,45232.990039,"Will the price of Ethereum be between $4,300 and $4,400 on October 10?"
CR2,0xe27e9963aef76dd9973378011417e703e4767049e58c0dfd78dfd24fbc7d4305,2025-10-11T16:00:00+00:00,NO,0.058,250.0,0,15.39278131634821,6.500196759259259,46776.783149,"Will the price of Bitcoin be between $128,000 and $130,000 on October 11?"
CR2,0x571d94f605bc51383dff2a3992b085fc990e7bc883771505d880184185b9fd11,2025-10-12T16:00:00+00:00,NO,0.0305,250.0,0,7.864878803506955,6.499988425925926,48133.832,"Will the price of Ethereum be between $4,700 and $4,800 on October 12?"
CR2,0x4e0d3f5aa4ba8ad7b4abf04755c239038e5e0463f63bca8114db802a06201370,2025-10-13T16:00:00+00:00,NO,0.0185,250.0,0,4.712175241976556,6.5000231481481485,45706.366,"Will the price of Ethereum be above $4,800 on October 13?"
CR2,0x431cbbb464cf8cf77acaad7414e8f6a9f9d97c2ca3fa149f15f92cb8c01d9fcf,2025-10-14T16:00:00+00:00,NO,0.0155,250.0,0,3.9360081259522492,6.500069444444445,46945.067932,"Will the price of Bitcoin be between $124,000 and $126,000 on October 14?"
CR2,0x7cdf0b26742f9d31b6a3bdbfd5a92dc6cf652b82169728f6952351d27777ef93,2025-10-14T16:00:00+00:00,NO,0.05,250.0,0,13.157894736842117,6.500092592592592,48881.378826,"Will the price of Bitcoin be above $122,000 on October 14?"
CR2,0xb4004bdcb99df239c4958330e0108365a99270cbd648d1db879b28a781b52384,2025-10-14T16:00:00+00:00,NO,0.02,250.0,0,5.102040816326535,6.499918981481481,49029.123662,"Will the price of Ethereum be between $4,800 and $4,900 on October 14?"
CR2,0x1ade6f9106b4fa410333ac58f6a40e372409201337e1871ce067a8cdcc4a0dcf,2025-10-17T16:00:00+00:00,NO,0.05,250.0,0,13.157894736842117,6.499988425925926,45137.921209,"Will the price of Bitcoin be between $118,000 and $120,000 on October 17?"
CR2,0x2eec877221d7f0dd7015b4dbcbe86f300dee5b76395afae21d9885effbcba759,2025-10-19T16:00:00+00:00,NO,0.08,250.0,0,21.739130434782595,6.500150462962963,45443.634762,"Will the price of Ethereum be above $4,400 on October 19?"
CR2,0xfa002e3a2346f680f87d47ca205f7c4505b6cca791184dd87aeaed7e958e7215,2025-10-20T04:00:00+00:00,NO,0.015,250.0,0,3.807106598984775,6.500104166666667,46287.467128,"Will Bitcoin reach $122,000 October 13-19?"
CR2,0xf30a79a188449edef0d68cace0e90485e1ec7d61f16b91c3cadd78d169e7d8b6,2025-10-20T04:00:00+00:00,NO,0.0065,250.0,0,1.635631605435317,6.499988425925926,47575.426216,"Will Bitcoin reach $126,000 October 13-19?"
CR2,0xb7bbed514738fbe972b6191f1f69e9ee5435875055ce7d1128fee78f67afe0a9,2025-10-20T16:00:00+00:00,NO,0.0335,250.0,0,8.665287118468694,6.5001388888888885,45135.56199,"Will the price of Ethereum be above $4,300 on October 20?"
CR2,0x069c40db1d741f4e3012de41aafeb4e76aab75366f7829e9a43fe971d6ff5572,2025-10-21T16:00:00+00:00,NO,0.09,250.0,0,24.725274725274716,6.500092592592592,46589.189386,"Will the price of Ethereum be between $4,100 and $4,200 on October 21?"
CR2,0xe0eaffb9be7d0c72f240607c2cad8da12848eb1d190d8e45377df4c541f1d6b0,2025-10-24T16:00:00+00:00,NO,0.028,250.0,0,7.201646090534986,6.500069444444445,45321.174285,"Will the price of Bitcoin be between $100,000 and $102,000 on October 24?"
CR2,0xc2a6f152ce703168163e2613ee4fb89a15f147d000262a52ff451e7303bb04d6,2025-10-25T16:00:00+00:00,NO,0.085,250.0,0,23.224043715846985,6.5000231481481485,47955.092093,"Will the price of Bitcoin be between $112,000 and $114,000 on October 25?"
CR2,0xea0235acd224e3ff66b8a756a91a8d202899ca166fc1b2a074d1202cd6f55f0e,2025-10-26T16:00:00+00:00,NO,0.051,250.0,0,13.43519494204427,6.500196759259259,45560.802586,"Will the price of Ethereum be between $3,500 and $3,600 on October 26?"
CR2,0xb2d0f4c0400bfb101c97ba7a346fde5f16ed57159db20ddd536018d498040e14,2025-10-27T04:00:00+00:00,NO,0.1,250.0,0,27.777777777777768,6.499965277777778,45681.543614,"Will Ethereum dip to $3,500 October 20-26?"
CR2,0x1df7a7c77ff989818494cfbc21e9be4527085b482eb9aa371f3dc096f2075761,2025-10-27T16:00:00+00:00,NO,0.0215,250.0,0,5.4931016862544615,6.5,44940.65422,"Will the price of Bitcoin be between $102,000 and $104,000 on October 27?"
CR2,0x24df11258403d0c82a579a6949d72ca7fa1ed5e1497efc4e20499df4fe5904a4,2025-10-27T16:00:00+00:00,NO,0.0225,250.0,0,5.754475703324799,6.500208333333333,49653.195855,"Will the price of Bitcoin be between $118,000 and $120,000 on October 27?"
CR2,0x43b02f9d1a555ed3bc0769aedf3ee5373c37a7840c4165f8765a29686c810372,2025-10-27T16:00:00+00:00,NO,0.0445,250.0,0,11.643118785975926,6.499907407407408,45531.804524,"Will the price of Ethereum be above $4,300 on October 27?"
CR2,0xaba0341b1880e9f2868a743abb4e54c8c5e0302237852259ecf359302f6e2f2f,2025-10-28T16:00:00+00:00,NO,0.046,250.0,0,12.054507337526218,6.499988425925926,45596.222998,"Will the price of Bitcoin be between $116,000 and $118,000 on October 28?"
CR2,0x0587fdcb937df6b330fc7dd5209b56cb44f837bbbef8023b5c02d82da991ebf3,2025-10-28T16:00:00+00:00,NO,0.0265,250.0,0,6.805341551104254,6.500011574074074,46404.732817,"Will the price of Ethereum be between $4,300 and $4,400 on October 28?"
CR2,0x963757bce022329d4e1090e8e63fcd06b6f06c9d4737f4c0c75423d085547194,2025-11-03T17:00:00+00:00,NO,0.0135,250.0,0,3.421186011150521,6.5,49785.471165,"Will the price of Bitcoin be above $122,000 on November 3?"
CR2,0x9f6135d88253a23da5c87d0783a82f3bf8085125eea477e8c775f7bd2f7ce6ab,2025-11-04T16:00:00+00:00,NO,0.065,250.0,1,-250.0,6.5,46464.091335,"Will the price of Ethereum be less than $3,600 on November 4?"
CR2,0xd18e17d6d11d2ca782dd8e0695de9b98ca20e449d37bebf2cc2a211d8a0e1874,2025-11-06T17:00:00+00:00,NO,0.0265,250.0,0,6.805341551104254,6.500196759259259,45329.715256,"Will the price of Ethereum be above $4,200 on November 6?"
CR2,0x7087ef7442c5055db6060c27a710456ee78228b1d3e332466e778f944f764847,2025-11-07T16:00:00+00:00,NO,0.055,250.0,0,14.550264550264565,6.500092592592592,47155.810285,"Will the price of Bitcoin be between $110,000 and $112,000 on November 7?"
CR2,0x0674351914f5b9467aa3064ed03687ff7eb727f5763864e3dcd74537a57fe02e,2025-11-11T17:00:00+00:00,NO,0.012,250.0,0,3.0364372469635654,6.500196759259259,46002.63638,"Will the price of Bitcoin be between $110,000 and $112,000 on November 11?"
CR2,0x6b0e1b386c206c05635f16dd97c9f37ac2ea32ad9e32de7cedfa2b042bcb907e,2025-11-11T17:00:00+00:00,NO,0.07,250.0,0,18.817204301075286,6.500208333333333,45588.906757,"Will the price of Bitcoin be between $106,000 and $108,000 on November 11?"
CR2,0x5bb33730223e400788ade9d56d565bcb8c45b36aa4a4b673a0e283a401b9af0a,2025-11-13T17:00:00+00:00,NO,0.008,250.0,0,2.0161290322580663,6.500127314814815,45394.211853,"Will the price of Ethereum be less than $2,800 on November 13?"
CR2,0x02a4a20fc90d02233ce568ffa066778d117293be379f3915c2d2f967618e628c,2025-11-14T17:00:00+00:00,NO,0.01,250.0,0,2.5252525252525273,6.500104166666667,49696.058634,"Will the price of Ethereum be less than $2,900 on November 14?"
CR2,0x6af17b8c6e6c9a919b3aa7664342f5ad60ba535d69f66ae99caf34af7e3ea371,2025-11-14T17:00:00+00:00,NO,0.1,250.0,0,27.777777777777768,6.500115740740741,48870.281136,"Will the price of Ethereum be between $3,300 and $3,400 on November 14?"
CR2,0xb169109af8286876fbe6551f2b03bccfcfb609fc0fbfc1ad05e176575b70b406,2025-11-16T17:00:00+00:00,NO,0.0315,250.0,0,8.131130614352083,6.5001388888888885,47021.465238,"Will the price of Ethereum be above $3,900 on November 16?"
